"","Sample_ID","Core_ID","Date_collected","Area","Site","Plot_num","Plot_ID","Horizon","soil_material","Average_thickness_cm","real_depth_cm","soil_bulk_density_g_cm3","grav_moist_perc","grav_water_gh20_per_gdrysoil","volumetric_water_content_cm3_cm3"
"1","20210706-E-D1_O1","20210706-E-D1","6-Jul-21","acidic tundra","Dry","1","E-D1","O1","organic",10.3,10.3,0.05,76.7,3.29,0.1645
"2","20210706-E-D1_O2","20210706-E-D1","6-Jul-21","acidic tundra","Dry","1","E-D1","O2","organic",5.1,15.4,0.06,77.8,3.5,0.21
"3","20210706-E-D2_O","20210706-E-D2","6-Jul-21","acidic tundra","Dry","2","E-D2","O","organic",5.9,5.9,0.04,81.6,4.45,0.178
"4","20210706-E-D2_M","20210706-E-D2","6-Jul-21","acidic tundra","Dry","2","E-D2","M","mineral",12,17.9,0.42,49.2,0.97,0.4074
"5","20210706-E-D3_O","20210706-E-D3","6-Jul-21","acidic tundra","Dry","3","E-D3","O","organic",8.5,8.5,0.09,75.3,3.05,0.2745
"6","20210706-E-D3_M","20210706-E-D3","6-Jul-21","acidic tundra","Dry","3","E-D3","M","mineral",10.6,19.1,0.68,29.5,0.42,0.2856
"7","20210706-E-M1_O1","20210706-E-M1","6-Jul-21","acidic tundra","Mesic","1","E-M1","O1","organic",13.1,13.1,0.04,84.4,5.42,0.2168
"8","20210706-E-M1_O2","20210706-E-M1","6-Jul-21","acidic tundra","Mesic","1","E-M1","O2","organic",8.4,21.5,0.03,86.2,6.26,0.1878
"9","20210706-E-M2_O","20210706-E-M2","6-Jul-21","acidic tundra","Mesic","2","E-M2","O","organic",4.3,4.3,0.08,76.3,3.23,0.2584
"10","20210706-E-M2_M","20210706-E-M2","6-Jul-21","acidic tundra","Mesic","2","E-M2","M","mineral",12.9,17.2,1.13,23,0.3,0.339
"11","20210706-E-M3_O","20210706-E-M3","6-Jul-21","acidic tundra","Mesic","3","E-M3","O","organic",9.9,9.9,0.17,60.5,1.53,0.2601
"12","20210706-E-H1_O1","20210706-E-H1","6-Jul-21","acidic tundra","Hydric","1","E-H1","O1","organic",10.1,10.1,0.1,83.1,4.9,0.49
"13","20210706-E-H1_O2","20210706-E-H1","6-Jul-21","acidic tundra","Hydric","1","E-H1","O2","organic",6.1,16.2,0.1,79,3.76,0.376
"14","20210706-E-H2_O1","20210706-E-H2","6-Jul-21","acidic tundra","Hydric","2","E-H2","O1","organic",10.5,10.5,0.03,86.9,6.66,0.1998
"15","20210706-E-H2_O2","20210706-E-H2","6-Jul-21","acidic tundra","Hydric","2","E-H2","O2","organic",8.3,18.8,0.2,74.2,2.87,0.574
"16","20210706-E-H3_O1","20210706-E-H3","6-Jul-21","acidic tundra","Hydric","3","E-H3","O1","organic",NA,NA,NA,85.1,5.71,NA
"17","20210706-E-H3_O2","20210706-E-H3","6-Jul-21","acidic tundra","Hydric","3","E-H3","O2","organic",10.5,NA,0.17,74.2,2.88,0.4896
"18","20210707-W-D1_O","20210707-W-D1","7-Jul-21","non-acidic tundra","Dry","1","W-D1","O","organic",17.6,17.6,0.08,82.2,4.62,0.3696
"19","20210707-W-D2_O","20210707-W-D2","7-Jul-21","non-acidic tundra","Dry","2","W-D2","O","organic",11.1,11.1,0.14,77.3,3.4,0.476
"20","20210707-W-D3_O1","20210707-W-D3","7-Jul-21","non-acidic tundra","Dry","3","W-D3","O1","organic",11.1,11.1,0.08,76.1,3.18,0.2544
"21","20210707-W-D3_O2","20210707-W-D3","7-Jul-21","non-acidic tundra","Dry","3","W-D3","O2","organic",5.4,16.5,0.23,73.1,2.71,0.6233
"22","20210707-W-M1_O","20210707-W-M1","7-Jul-21","non-acidic tundra","Mesic","1","W-M1","O","organic",10.8,10.8,0.09,82.5,4.71,0.4239
"23","20210707-W-M2_O1","20210707-W-M2","7-Jul-21","non-acidic tundra","Mesic","2","W-M2","O1","organic",6.6,6.6,0.07,84.2,5.32,0.3724
"24","20210707-W-M2_O2","20210707-W-M2","7-Jul-21","non-acidic tundra","Mesic","2","W-M2","O2","organic",6.3,12.9,0.14,79.5,3.88,0.5432
"25","20210707-W-M3_O1","20210707-W-M3","7-Jul-21","non-acidic tundra","Mesic","3","W-M3","O1","organic",6.4,6.4,0.06,86.1,6.2,0.372
"26","20210707-W-M3_O2","20210707-W-M3","7-Jul-21","non-acidic tundra","Mesic","3","W-M3","O2","organic",9,15.4,0.16,79.2,3.8,0.608
"27","20210707-W-H1_O1","20210707-W-H1","7-Jul-21","non-acidic tundra","Hydric","1","W-H1","O1","organic",8.6,8.6,0.14,83.9,5.22,0.7308
"28","20210707-W-H1_O2","20210707-W-H1","7-Jul-21","non-acidic tundra","Hydric","1","W-H1","O2","organic",8.9,17.5,0.12,84.7,5.55,0.666
"29","20210707-W-H2_O1","20210707-W-H2","7-Jul-21","non-acidic tundra","Hydric","2","W-H2","O1","organic",9,9,0.11,82.5,4.73,0.5203
"30","20210707-W-H2_O2","20210707-W-H2","7-Jul-21","non-acidic tundra","Hydric","2","W-H2","O2","organic",5.3,14.3,0.14,82.5,4.73,0.6622
"31","20210707-W-H3_O1","20210707-W-H3","7-Jul-21","non-acidic tundra","Hydric","3","W-H3","O1","organic",7.9,7.9,0.1,80.7,4.18,0.418
"32","20210707-W-H3_O2","20210707-W-H3","7-Jul-21","non-acidic tundra","Hydric","3","W-H3","O2","organic",14.1,22,0.11,81.6,4.44,0.4884
"33","20210713-W-D1_O1","20210713-W-D1","13-Jul-21","non-acidic tundra","Dry","1","W-D1","O1","organic",9.8,9.8,0.05,79.7,3.94,0.197
"34","20210713-W-D1_O2","20210713-W-D1","13-Jul-21","non-acidic tundra","Dry","1","W-D1","O2","organic",10.9,20.7,0.17,76.9,3.32,0.5644
"35","20210713-W-D2_O1","20210713-W-D2","13-Jul-21","non-acidic tundra","Dry","2","W-D2","O1","organic",12.8,12.8,0.04,86.8,6.56,0.2624
"36","20210713-W-D2_O2","20210713-W-D2","13-Jul-21","non-acidic tundra","Dry","2","W-D2","O2","organic",6.8,19.6,0.14,79.5,3.87,0.5418
"37","20210713-W-D3_O1","20210713-W-D3","13-Jul-21","non-acidic tundra","Dry","3","W-D3","O1","organic",11,11,0.05,78.7,3.7,0.185
"38","20210713-W-D3_O2","20210713-W-D3","13-Jul-21","non-acidic tundra","Dry","3","W-D3","O2","organic",10,21,0.13,76.7,3.29,0.4277
"39","20210713-W-M1_O1","20210713-W-M1","13-Jul-21","non-acidic tundra","Mesic","1","W-M1","O1","organic",12.3,12.3,0.05,82,4.57,0.2285
"40","20210713-W-M1_O2","20210713-W-M1","13-Jul-21","non-acidic tundra","Mesic","1","W-M1","O2","organic",8.4,20.7,0.12,82,4.56,0.5472
"41","20210713-W-M2_O1","20210713-W-M2","13-Jul-21","non-acidic tundra","Mesic","2","W-M2","O1","organic",6.3,6.3,0.06,73.7,2.8,0.168
"42","20210713-W-M2_O2","20210713-W-M2","13-Jul-21","non-acidic tundra","Mesic","2","W-M2","O2","organic",5,11.3,0.16,78.1,3.57,0.5712
"43","20210713-W-M2_M","20210713-W-M2","13-Jul-21","non-acidic tundra","Mesic","2","W-M2","M","mineral",5.5,16.8,0.98,24,0.32,0.3136
"44","20210713-W-M3_O","20210713-W-M3","13-Jul-21","non-acidic tundra","Mesic","3","W-M3","O","organic",18.6,18.6,0.05,NA,NA,NA
"45","20210713-W-H1_O1","20210713-W-H1","13-Jul-21","non-acidic tundra","Hydric","1","W-H1","O1","organic",8.5,8.5,0.03,93,13.25,0.3975
"46","20210713-W-H1_O2","20210713-W-H1","13-Jul-21","non-acidic tundra","Hydric","1","W-H1","O2","organic",9,17.5,0.09,85.9,6.1,0.549
"47","20210713-W-H2_O1","20210713-W-H2","13-Jul-21","non-acidic tundra","Hydric","2","W-H2","O1","organic",9.4,9.4,0.15,81.1,4.3,0.645
"48","20210713-W-H2_O2","20210713-W-H2","13-Jul-21","non-acidic tundra","Hydric","2","W-H2","O2","organic",11.5,20.9,0.13,NA,NA,NA
"49","20210713-W-H3_O1","20210713-W-H3","13-Jul-21","non-acidic tundra","Hydric","3","W-H3","O1","organic",10.1,10.1,0.09,81,4.26,0.3834
"50","20210713-W-H3_O2","20210713-W-H3","13-Jul-21","non-acidic tundra","Hydric","3","W-H3","O2","organic",9,19.1,0.11,81.9,4.51,0.4961
"51","20210714-E-D1_O1","20210714-E-D1","14-Jul-21","acidic tundra","Dry","1","E-D1","O1","organic",6.3,6.3,0.04,80,4.01,0.1604
"52","20210714-E-D1_O2","20210714-E-D1","14-Jul-21","acidic tundra","Dry","1","E-D1","O2","organic",6.8,13.1,0.27,62.8,1.69,0.4563
"53","20210714-E-D2_O1","20210714-E-D2","14-Jul-21","acidic tundra","Dry","2","E-D2","O1","organic",9.4,9.4,0.09,70.1,2.34,0.2106
"54","20210714-E-D2_O2","20210714-E-D2","14-Jul-21","acidic tundra","Dry","2","E-D2","O2","organic",4.6,14,0.4,58,1.38,0.552
"55","20210714-E-D3_O1","20210714-E-D3","14-Jul-21","acidic tundra","Dry","3","E-D3","O1","organic",6.6,6.6,0.08,77.3,3.41,0.2728
"56","20210714-E-D3_O2","20210714-E-D3","14-Jul-21","acidic tundra","Dry","3","E-D3","O2","organic",7,13.6,0.27,68,2.13,0.5751
"57","20210714-E-M1_O1","20210714-E-M1","14-Jul-21","acidic tundra","Mesic","1","E-M1","O1","organic",9.6,9.6,0.07,76.5,3.26,0.2282
"58","20210714-E-M1_O2","20210714-E-M1","14-Jul-21","acidic tundra","Mesic","1","E-M1","O2","organic",2,11.6,0.11,74.7,2.96,0.3256
"59","20210714-E-M1_M","20210714-E-M1","14-Jul-21","acidic tundra","Mesic","1","E-M1","M","mineral",5.3,16.9,0.89,37,0.59,0.5251
"60","20210714-E-M2_O","20210714-E-M2","14-Jul-21","acidic tundra","Mesic","2","E-M2","O","organic",7.4,7.4,0.19,55.3,1.24,0.2356
"61","20210714-E-M2_M","20210714-E-M2","14-Jul-21","acidic tundra","Mesic","2","E-M2","M","mineral",9,16.4,1.15,25.1,0.34,0.391
"62","20210714-E-M3_O1","20210714-E-M3","14-Jul-21","acidic tundra","Mesic","3","E-M3","O1","organic",6.4,6.4,NA,NA,NA,NA
"63","20210714-E-M3_O2","20210714-E-M3","14-Jul-21","acidic tundra","Mesic","3","E-M3","O2","organic",8.4,14.8,NA,NA,NA,NA
"64","20210714-E-H1_O1","20210714-E-H1","14-Jul-21","acidic tundra","Hydric","1","E-H1","O1","organic",9.3,9.3,0.03,86.7,6.54,0.1962
"65","20210714-E-H1_O2","20210714-E-H1","14-Jul-21","acidic tundra","Hydric","1","E-H1","O2","organic",5.6,14.9,0.12,80.9,4.24,0.5088
"66","20210714-E-H2_O1","20210714-E-H2","14-Jul-21","acidic tundra","Hydric","2","E-H2","O1","organic",5.3,5.3,0.05,83.6,5.1,0.255
"67","20210714-E-H2_O2","20210714-E-H2","14-Jul-21","acidic tundra","Hydric","2","E-H2","O2","organic",9.4,14.7,0.21,73.7,2.8,0.588
"68","20210714-E-H3_O1","20210714-E-H3","14-Jul-21","acidic tundra","Hydric","3","E-H3","O1","organic",9.9,9.9,NA,NA,NA,NA
"69","20210714-E-H3_O2","20210714-E-H3","14-Jul-21","acidic tundra","Hydric","3","E-H3","O2","organic",8,17.9,NA,NA,NA,NA
"70","20210724-W-T1_O","20210724-W-T1","24-Jul-21","non-acidic tundra","Transect","T1","W-T1","O","organic",6.9,6.9,NA,NA,NA,NA
"71","20210724-W-T1_M","20210724-W-T1","24-Jul-21","non-acidic tundra","Transect","T1","W-T1","M","mineral",12.4,19.3,NA,NA,NA,NA
"72","20210724-W-T2_O1","20210724-W-T2","24-Jul-21","non-acidic tundra","Transect","T2","W-T2","O1","organic",3.9,3.9,NA,NA,NA,NA
"73","20210724-W-T2_O2","20210724-W-T2","24-Jul-21","non-acidic tundra","Transect","T2","W-T2","O2","organic",6.9,10.8,NA,NA,NA,NA
"74","20210724-W-T2_M","20210724-W-T2","24-Jul-21","non-acidic tundra","Transect","T2","W-T2","M","mineral",NA,NA,NA,NA,NA,NA
"75","20210724-W-T3_O","20210724-W-T3","24-Jul-21","non-acidic tundra","Transect","T3","W-T3","O","organic",11.4,11.4,NA,NA,NA,NA
"76","20210724-W-T3_M","20210724-W-T3","24-Jul-21","non-acidic tundra","Transect","T3","W-T3","M","mineral",12.5,23.9,NA,NA,NA,NA
"77","20210724-W-T4_O1","20210724-W-T4","24-Jul-21","non-acidic tundra","Transect","T4","W-T4","O1","organic",11.9,11.9,NA,NA,NA,NA
"78","20210724-W-T4_O2","20210724-W-T4","24-Jul-21","non-acidic tundra","Transect","T4","W-T4","O2","organic",7.9,19.8,NA,NA,NA,NA
"79","20210724-W-T5_O1","20210724-W-T5","24-Jul-21","non-acidic tundra","Transect","T5","W-T5","O1","organic",6.4,6.4,NA,NA,NA,NA
"80","20210724-W-T5_O2","20210724-W-T5","24-Jul-21","non-acidic tundra","Transect","T5","W-T5","O2","organic",8.5,14.9,NA,NA,NA,NA
"81","20210724-W-T6_O1","20210724-W-T6","24-Jul-21","non-acidic tundra","Transect","T6","W-T6","O1","organic",7.1,7.1,NA,NA,NA,NA
"82","20210724-W-T6_O2","20210724-W-T6","24-Jul-21","non-acidic tundra","Transect","T6","W-T6","O2","organic",9.8,16.9,NA,NA,NA,NA
"83","20210724-W-T6_M","20210724-W-T6","24-Jul-21","non-acidic tundra","Transect","T6","W-T6","M","mineral",5.1,22,NA,NA,NA,NA
"84","20210724-W-T7_O1","20210724-W-T7","24-Jul-21","non-acidic tundra","Transect","T7","W-T7","O1","organic",8.4,8.4,NA,NA,NA,NA
"85","20210724-W-T7_O2","20210724-W-T7","24-Jul-21","non-acidic tundra","Transect","T7","W-T7","O2","organic",13,21.4,NA,NA,NA,NA
"86","20210724-W-T8_O1","20210724-W-T8","24-Jul-21","non-acidic tundra","Transect","T8","W-T8","O1","organic",11,11,NA,NA,NA,NA
"87","20210724-W-T8_O2","20210724-W-T8","24-Jul-21","non-acidic tundra","Transect","T8","W-T8","O2","organic",11.6,22.6,NA,NA,NA,NA
"88","20210724-W-T9_O1","20210724-W-T9","24-Jul-21","non-acidic tundra","Transect","T9","W-T9","O1","organic",8.8,8.8,NA,NA,NA,NA
"89","20210724-W-T9_O2","20210724-W-T9","24-Jul-21","non-acidic tundra","Transect","T9","W-T9","O2","organic",12.1,20.9,NA,NA,NA,NA
"90","20210724-W-T10_O1","20210724-W-T10","24-Jul-21","non-acidic tundra","Transect","T10","W-T10","O1","organic",14.6,14.6,NA,NA,NA,NA
"91","20210724-W-T10_O2","20210724-W-T10","24-Jul-21","non-acidic tundra","Transect","T10","W-T10","O2","organic",6.5,21.1,NA,NA,NA,NA
"92","20210724-W-T11_O1","20210724-W-T11","24-Jul-21","non-acidic tundra","Transect","T11","W-T11","O1","organic",9,9,NA,NA,NA,NA
"93","20210724-W-T11_O2","20210724-W-T11","24-Jul-21","non-acidic tundra","Transect","T11","W-T11","O2","organic",9.6,18.6,NA,NA,NA,NA
"94","20210724-W-T12_O1","20210724-W-T12","24-Jul-21","non-acidic tundra","Transect","T12","W-T12","O1","organic",10.1,10.1,NA,NA,NA,NA
"95","20210724-W-T12_O2","20210724-W-T12","24-Jul-21","non-acidic tundra","Transect","T12","W-T12","O2","organic",10.1,20.2,NA,NA,NA,NA
"96","20210724-W-T13_O","20210724-W-T13","24-Jul-21","non-acidic tundra","Transect","T13","W-T13","O","organic",13.6,13.6,NA,NA,NA,NA
"97","20210724-E-T1_O1","20210724-E-T1","24-Jul-21","acidic tundra","Transect","T1","E-T1","O1","organic",9.5,9.5,NA,NA,NA,NA
