"","site","position","date2","depth_cm","vwc_avg","vwc_sd","moisture_avg","moisture_sd"
"1","acidic tundra","dry",2021-07-06,5,0.22625,0.0682358043845018,31.7204507692308,0.841953970232949
"2","acidic tundra","dry",2021-07-06,15,0.266875,0.106165448710962,36.0828107142857,0.0600206606049168
"3","acidic tundra","dry",2021-07-14,5,0.2146,0.0563066603520401,25.4435157142857,0.46312259974612
"4","acidic tundra","dry",2021-07-14,15,0.5278,0.0629888085297698,34.7729214285714,0.0426142590540444
"5","acidic tundra","dry",2021-07-30,5,0.3219,NA,26.785609,0.717921473831071
"6","acidic tundra","dry",2021-07-30,25,0.336,NA,36.2974818181818,0.0172397522129419
"7","acidic tundra","dry",2021-08-07,5,0.0843,NA,25.5860721428571,0.384089298674922
"8","acidic tundra","dry",2021-08-07,15,0.3782,0.204137674131945,31.287275,0.0433947497267366
"9","acidic tundra","mesic",2021-07-06,5,0.25925,0.00120208152801712,23.3178171428571,0.268554958261049
"10","acidic tundra","mesic",2021-07-06,15,0.2779,0.0864084486609961,37.3243992857143,0.082692005237628
"11","acidic tundra","mesic",2021-07-06,25,0.1878,NA,34.1303792857143,0.0724887264937191
"12","acidic tundra","mesic",2021-07-14,5,0.2319,0.00523259018078044,21.99272,0.397479897198491
"13","acidic tundra","mesic",2021-07-14,15,0.4139,0.101702359854627,37.2873869230769,0.0932333822891618
"14","acidic tundra","mesic",2021-08-07,5,0.2164,0.0630744797838238,22.2787414285714,0.197024828144817
"15","acidic tundra","mesic",2021-08-07,15,0.3715,0.0728319984622144,37.3596014285714,0.0534616097857071
"16","acidic tundra","hydric",2021-07-06,15,0.40995,0.161901235325738,51.293095,0.499234197650607
"17","acidic tundra","hydric",2021-07-14,5,0.2256,0.041577878733769,13.9663057857143,13.1983445511766
"18","acidic tundra","hydric",2021-07-14,15,0.5484,0.0560028570699745,49.3295592857143,1.64775424746468
"19","acidic tundra","hydric",2021-08-07,5,0.3416,NA,NA,NA
"20","acidic tundra","hydric",2021-08-07,15,0.55795,0.098924238687998,NA,NA
"21","non-acidic tundra","dry",2021-07-07,15,0.430825,0.157015591051759,48.3801888888889,0.537818655530012
"22","non-acidic tundra","dry",2021-07-13,5,0.197,NA,18.581185,0.268093902629141
"23","non-acidic tundra","dry",2021-07-13,15,0.3884,0.193007011962433,44.56345,0.0315279653641011
"24","non-acidic tundra","dry",2021-07-13,25,0.4277,NA,21.9328061538462,0.582399948625491
"25","non-acidic tundra","dry",2021-07-31,5,0.3052,NA,19.8128766666667,0.210124434641317
"26","non-acidic tundra","dry",2021-07-31,25,0.6346,NA,44.6986975,0.00915802880900962
"27","non-acidic tundra","mesic",2021-07-07,5,0.3722,0.000282842712474666,11.5645044444444,0.58423163452331
"28","non-acidic tundra","mesic",2021-07-07,15,0.525033333333333,0.0933848131835864,33.49334375,0.157918288992168
"29","non-acidic tundra","mesic",2021-07-13,5,0.168,NA,NA,NA
"30","non-acidic tundra","mesic",2021-07-13,15,0.415125,0.170234571009142,NA,NA
"31","non-acidic tundra","mesic",2021-08-07,15,0.5058,NA,39.26441,1.06119780088351
"32","non-acidic tundra","mesic",2021-08-07,25,0.5124,NA,51.14449,0.038310341510703
"33","non-acidic tundra","hydric",2021-07-07,5,0.556366666666667,0.159488442632478,NA,NA
"34","non-acidic tundra","hydric",2021-07-07,15,0.6641,0.00268700576850874,NA,NA
"35","non-acidic tundra","hydric",2021-07-07,25,0.4884,NA,NA,NA
"36","non-acidic tundra","hydric",2021-07-13,5,0.52125,0.17500892834367,48.3114,0.41837403707687
"37","non-acidic tundra","hydric",2021-07-13,15,0.476166666666667,0.0845803956796924,52.0682928571429,0.0200635205570421
"38","non-acidic tundra","hydric",2021-08-07,5,0.4905,NA,50.4689538461538,1.17055347698242
"39","non-acidic tundra","hydric",2021-08-07,15,0.49965,0.0803980410209105,52.2806985714286,0.144956048026086
