"","samplename","NPOC_mgL","TN_mgL","exclude","rerun"
"25","174_4x","0.9298","0.9125",1,"yes"
"26","174_4x","0.9298","0.9125",0,"yes"
"27","174_4x","0.9298","0.9125",0,"yes"
"28","174_4x","0.9298","0.9125",0,"yes"
"29","174_4x","0.9298","0.9125",0,"yes"
"30","174_4x","0.9298","0.9125",1,"yes"
"31","174_4x","0.9298","0.9125",0,"yes"
"32","174_4x","0.9298","0.9125",0,"yes"
"33","171_4x","6.050","0.9627",1,"yes"
"34","171_4x","6.050","0.9627",0,"yes"
"35","171_4x","6.050","0.9627",0,"yes"
"36","171_4x","6.050","0.9627",0,"yes"
"37","171_4x","6.050","0.9627",0,"yes"
"38","171_4x","6.050","0.9627",1,"yes"
"39","171_4x","6.050","0.9627",0,"yes"
"40","171_4x","6.050","0.9627",0,"yes"
"41","168_4x","5.322","0.9922",1,"yes"
"42","168_4x","5.322","0.9922",0,"yes"
"43","168_4x","5.322","0.9922",0,"yes"
"44","168_4x","5.322","0.9922",0,"yes"
"45","168_4x","5.322","0.9922",0,"yes"
"46","168_4x","5.322","0.9922",1,"yes"
"47","168_4x","5.322","0.9922",0,"yes"
"48","168_4x","5.322","0.9922",0,"yes"
"49","25_4x","0.5652","0.9282",0,"yes"
"50","25_4x","0.5652","0.9282",1,"yes"
"51","25_4x","0.5652","0.9282",0,"yes"
"52","25_4x","0.5652","0.9282",0,"yes"
"53","25_4x","0.5652","0.9282",1,"yes"
"54","25_4x","0.5652","0.9282",0,"yes"
"55","25_4x","0.5652","0.9282",0,"yes"
"56","25_4x","0.5652","0.9282",0,"yes"
"57","1_4x","4.347","0.9536",1,"yes"
"58","1_4x","4.347","0.9536",0,"yes"
"59","1_4x","4.347","0.9536",0,"yes"
"60","1_4x","4.347","0.9536",0,"yes"
"61","1_4x","4.347","0.9536",1,"yes"
"62","1_4x","4.347","0.9536",0,"yes"
"63","1_4x","4.347","0.9536",0,"yes"
"64","1_4x","4.347","0.9536",0,"yes"
"65","24_4x","9.322","1.184",1,"yes"
"66","24_4x","9.322","1.184",0,"yes"
"67","24_4x","9.322","1.184",0,"yes"
"68","24_4x","9.322","1.184",0,"yes"
"69","24_4x","9.322","1.184",0,"yes"
"70","24_4x","9.322","1.184",0,"yes"
"71","24_4x","9.322","1.184",0,"yes"
"72","24_4x","9.322","1.184",1,"yes"
"73","3_4x","9.992","1.132",0,"yes"
"74","3_4x","9.992","1.132",0,"yes"
"75","3_4x","9.992","1.132",0,"yes"
"76","3_4x","9.992","1.132",0,"yes"
"77","3_4x","9.992","1.132",0,"yes"
"78","3_4x","9.992","1.132",0,"yes"
"79","5_4x","4.011","0.9625",1,"yes"
"80","5_4x","4.011","0.9625",0,"yes"
"81","5_4x","4.011","0.9625",0,"yes"
"82","5_4x","4.011","0.9625",0,"yes"
"83","5_4x","4.011","0.9625",0,"yes"
"84","5_4x","4.011","0.9625",0,"yes"
"85","5_4x","4.011","0.9625",0,"yes"
"86","5_4x","4.011","0.9625",1,"yes"
"87","2_4x","6.910","0.9829",1,"yes"
"88","2_4x","6.910","0.9829",0,"yes"
"89","2_4x","6.910","0.9829",0,"yes"
"90","2_4x","6.910","0.9829",0,"yes"
"91","2_4x","6.910","0.9829",0,"yes"
"92","2_4x","6.910","0.9829",0,"yes"
"93","2_4x","6.910","0.9829",1,"yes"
"94","2_4x","6.910","0.9829",0,"yes"
"95","158_4x","8.058","0.9725",1,"yes"
"96","158_4x","8.058","0.9725",0,"yes"
"97","158_4x","8.058","0.9725",0,"yes"
"98","158_4x","8.058","0.9725",0,"yes"
"99","158_4x","8.058","0.9725",0,"yes"
"100","158_4x","8.058","0.9725",0,"yes"
"101","158_4x","8.058","0.9725",0,"yes"
"102","158_4x","8.058","0.9725",1,"yes"
"103","167_4x","4.769","0.9190",0,"yes"
"104","167_4x","4.769","0.9190",0,"yes"
"105","167_4x","4.769","0.9190",1,"yes"
"106","167_4x","4.769","0.9190",0,"yes"
"107","167_4x","4.769","0.9190",0,"yes"
"108","167_4x","4.769","0.9190",0,"yes"
"109","167_4x","4.769","0.9190",1,"yes"
"110","167_4x","4.769","0.9190",0,"yes"
"111","173_4x","7.921","1.117",1,"yes"
"112","173_4x","7.921","1.117",0,"yes"
"113","173_4x","7.921","1.117",0,"yes"
"114","173_4x","7.921","1.117",0,"yes"
"115","173_4x","7.921","1.117",1,"yes"
"116","173_4x","7.921","1.117",0,"yes"
"117","173_4x","7.921","1.117",0,"yes"
"118","173_4x","7.921","1.117",0,"yes"
"119","159_4x","7.672","0.9724",0,"yes"
"120","159_4x","7.672","0.9724",0,"yes"
"121","159_4x","7.672","0.9724",0,"yes"
"122","159_4x","7.672","0.9724",0,"yes"
"123","159_4x","7.672","0.9724",0,"yes"
"124","159_4x","7.672","0.9724",0,"yes"
"125","159_4x","7.672","0.9724",1,"yes"
"126","162_4x","4.943","0.8813",0,"yes"
"127","162_4x","4.943","0.8813",0,"yes"
"128","162_4x","4.943","0.8813",0,"yes"
"129","162_4x","4.943","0.8813",0,"yes"
"130","162_4x","4.943","0.8813",0,"yes"
"131","162_4x","4.943","0.8813",0,"yes"
"132","162_4x","4.943","0.8813",1,"yes"
"133","163_4x","4.504","0.9053",0,"yes"
"134","163_4x","4.504","0.9053",0,"yes"
"135","163_4x","4.504","0.9053",0,"yes"
"136","163_4x","4.504","0.9053",0,"yes"
"137","163_4x","4.504","0.9053",0,"yes"
"138","163_4x","4.504","0.9053",0,"yes"
"139","163_4x","4.504","0.9053",1,"yes"
"140","164_4x","5.185","0.8891",0,"yes"
"141","164_4x","5.185","0.8891",0,"yes"
"142","164_4x","5.185","0.8891",0,"yes"
"143","164_4x","5.185","0.8891",0,"yes"
"144","164_4x","5.185","0.8891",0,"yes"
"145","164_4x","5.185","0.8891",0,"yes"
"146","164_4x","5.185","0.8891",1,"yes"
"147","139_4x","0.000","0.000",0,"yes"
"148","139_4x","0.000","0.000",0,"yes"
"187","142_4x","6.167","1.203",1,"yes"
"188","142_4x","6.167","1.203",0,"yes"
"189","142_4x","6.167","1.203",0,"yes"
"190","142_4x","6.167","1.203",0,"yes"
"191","142_4x","6.167","1.203",0,"yes"
"192","142_4x","6.167","1.203",0,"yes"
"193","142_4x","6.167","1.203",1,"yes"
"194","142_4x","6.167","1.203",0,"yes"
"195","33_4x","5.221","0.9764",0,"yes"
"196","33_4x","5.221","0.9764",0,"yes"
"197","33_4x","5.221","0.9764",0,"yes"
"198","33_4x","5.221","0.9764",0,"yes"
"199","33_4x","5.221","0.9764",0,"yes"
"200","33_4x","5.221","0.9764",0,"yes"
"201","33_4x","5.221","0.9764",1,"yes"
"202","130_4x","5.811","0.8864",0,"yes"
"203","130_4x","5.811","0.8864",0,"yes"
"204","130_4x","5.811","0.8864",0,"yes"
"205","130_4x","5.811","0.8864",0,"yes"
"206","130_4x","5.811","0.8864",0,"yes"
"207","130_4x","5.811","0.8864",0,"yes"
"208","130_4x","5.811","0.8864",1,"yes"
"209","154_4x","6.342","0.8984",0,"yes"
"210","154_4x","6.342","0.8984",1,"yes"
"211","154_4x","6.342","0.8984",0,"yes"
"212","154_4x","6.342","0.8984",0,"yes"
"213","154_4x","6.342","0.8984",0,"yes"
"214","154_4x","6.342","0.8984",0,"yes"
"215","154_4x","6.342","0.8984",0,"yes"
"216","154_4x","6.342","0.8984",1,"yes"
"217","141_4x","8.114","0.9460",0,"yes"
"218","141_4x","8.114","0.9460",0,"yes"
"219","141_4x","8.114","0.9460",0,"yes"
"220","141_4x","8.114","0.9460",0,"yes"
"221","141_4x","8.114","0.9460",0,"yes"
"222","141_4x","8.114","0.9460",0,"yes"
"223","141_4x","8.114","0.9460",1,"yes"
"224","135_4x","4.697","0.8769",1,"yes"
"225","135_4x","4.697","0.8769",0,"yes"
"226","135_4x","4.697","0.8769",0,"yes"
"227","135_4x","4.697","0.8769",0,"yes"
"228","135_4x","4.697","0.8769",0,"yes"
"229","135_4x","4.697","0.8769",1,"yes"
"230","135_4x","4.697","0.8769",0,"yes"
"231","135_4x","4.697","0.8769",0,"yes"
"232","131_4x","6.330","0.8909",0,"yes"
"233","131_4x","6.330","0.8909",0,"yes"
"234","131_4x","6.330","0.8909",1,"yes"
"235","131_4x","6.330","0.8909",0,"yes"
"236","131_4x","6.330","0.8909",0,"yes"
"237","131_4x","6.330","0.8909",0,"yes"
"238","131_4x","6.330","0.8909",1,"yes"
"239","131_4x","6.330","0.8909",0,"yes"
"240","132_4x","4.882","0.8876",0,"yes"
"241","132_4x","4.882","0.8876",0,"yes"
"242","132_4x","4.882","0.8876",0,"yes"
"243","132_4x","4.882","0.8876",0,"yes"
"244","132_4x","4.882","0.8876",0,"yes"
"245","132_4x","4.882","0.8876",0,"yes"
"246","160_4x","8.404","0.9132",0,"yes"
"247","160_4x","8.404","0.9132",0,"yes"
"248","160_4x","8.404","0.9132",0,"yes"
"249","160_4x","8.404","0.9132",0,"yes"
"250","160_4x","8.404","0.9132",0,"yes"
"251","160_4x","8.404","0.9132",0,"yes"
"252","160_4x","8.404","0.9132",1,"yes"
