,Area,Site,soil_material,manual_depth_avg,manual_depth_sd,depth_avg,depth_se,depth_sd,depth_forstack_avg,depth_forstack_se,depth_forstack_sd,bd_avg,bd_se,vwc_avg,vwc_se,grav_avg,grav_se
1,acidic tundra,Dry,mineral,12.07,1.12,19.52,0.69,1.39,12.07,0.56,1.12,0.73,0.23,0.36,0.03,36.88,7.6
2,acidic tundra,Dry,organic,10.73,4.09,10.73,1.09,4.09,7.56,0.53,1.98,0.15,0.04,0.3,0.04,71.45,2.52
3,acidic tundra,Hydric,mineral,7.3,NA,20.5,NA,NA,7.3,NA,NA,0.8,NA,0.49,NA,37.9,NA
4,acidic tundra,Hydric,organic,11.84,4.5,11.84,1.42,4.5,7.78,0.64,2.04,0.11,0.02,0.42,0.05,80.43,1.65
5,acidic tundra,Mesic,mineral,8.42,3.48,15,1.57,3.85,8.42,1.42,3.48,1.06,0.06,0.38,0.04,26.58,2.65
6,acidic tundra,Mesic,organic,9.6,5.53,9.6,1.84,5.53,7.08,1.18,3.55,0.09,0.02,0.23,0.02,73.42,3.37
7,non-acidic tundra,Dry,organic,15.15,4.97,15.15,1.44,4.97,10.72,0.92,3.19,0.13,0.03,0.4,0.05,77.58,1.69
8,non-acidic tundra,Hydric,organic,13.11,5.08,13.11,1.36,5.08,9.17,0.51,1.9,0.12,0.01,0.53,0.03,81.81,1.3
9,non-acidic tundra,Mesic,mineral,4.4,1.56,19.45,2.65,3.75,4.4,1.1,1.56,0.91,0.07,0.41,0.1,31,7
10,non-acidic tundra,Mesic,organic,12.15,5.05,12.15,1.6,5.05,8.04,0.73,2.32,0.11,0.02,0.43,0.05,80.11,1.3
