proj,year,id,analysis
PhIr,2022,1,A
PhIr,2022,2,A
PhIr,2022,3,A
PhIr,2022,4,A
PhIr,2022,5,A
PhIr,2022,6,A
PhIr,2022,7,A
PhIr,2022,8,A
PhIr,2022,9,A
PhIr,2022,10,A
PhIr,2022,11,A
PhIr,2022,12,A
PhIr,2022,13,A
PhIr,2022,14,A
PhIr,2022,15,A
PhIr,2022,16,A
PhIr,2022,17,A
PhIr,2022,18,A
PhIr,2022,19,A
PhIr,2022,20,A
PhIr,2022,21,A
PhIr,2022,22,A
PhIr,2022,23,A
PhIr,2022,24,A
PhIr,2022,25,A
PhIr,2022,26,A
PhIr,2022,27,A
PhIr,2022,28,A
PhIr,2022,29,A
PhIr,2022,30,A
PhIr,2022,31,A
PhIr,2022,32,A
PhIr,2022,33,A
PhIr,2022,34,A
PhIr,2022,35,A
PhIr,2022,36,A
PhIr,2022,37,A
PhIr,2022,38,A
PhIr,2022,39,A
PhIr,2022,40,A
PhIr,2022,41,A
PhIr,2022,42,A
PhIr,2022,43,A
PhIr,2022,44,A
PhIr,2022,45,A
PhIr,2022,46,A
PhIr,2022,47,A
PhIr,2022,48,A
PhIr,2022,49,A
PhIr,2022,50,A
PhIr,2022,51,A
PhIr,2022,52,A
PhIr,2022,53,A
PhIr,2022,54,A
PhIr,2022,55,A
PhIr,2022,56,A
PhIr,2022,57,A
PhIr,2022,58,A
PhIr,2022,59,A
PhIr,2022,60,A
PhIr,2022,61,A
PhIr,2022,62,A
PhIr,2022,63,A
PhIr,2022,64,A
PhIr,2022,65,A
PhIr,2022,66,A
PhIr,2022,67,A
PhIr,2022,68,A
PhIr,2022,69,A
PhIr,2022,70,A
PhIr,2022,71,A
PhIr,2022,72,A
PhIr,2022,73,A
PhIr,2022,74,A
PhIr,2022,75,A
PhIr,2022,76,A
PhIr,2022,77,A
PhIr,2022,78,A
PhIr,2022,79,A
PhIr,2022,80,A
PhIr,2022,81,A
PhIr,2022,82,A
PhIr,2022,83,A
PhIr,2022,84,A
PhIr,2022,85,A
PhIr,2022,86,A
PhIr,2022,87,A
PhIr,2022,88,A
PhIr,2022,89,A
PhIr,2022,90,A
PhIr,2022,91,A
PhIr,2022,92,A
PhIr,2022,93,A
PhIr,2022,94,A
PhIr,2022,95,A
PhIr,2022,96,A
PhIr,2022,97,A
PhIr,2022,98,A
PhIr,2022,99,A
PhIr,2022,100,A
PhIr,2022,101,A
PhIr,2022,102,A
PhIr,2022,103,A
PhIr,2022,104,A
PhIr,2022,105,A
PhIr,2022,106,A
PhIr,2022,107,A
PhIr,2022,108,A
PhIr,2022,109,A
PhIr,2022,110,A
PhIr,2022,111,A
PhIr,2022,112,A
PhIr,2022,113,A
PhIr,2022,114,A
PhIr,2022,115,A
PhIr,2022,116,A
PhIr,2022,117,A
PhIr,2022,118,A
PhIr,2022,119,A
PhIr,2022,120,A
PhIr,2022,121,A
PhIr,2022,122,A
PhIr,2022,123,A
PhIr,2022,124,A
PhIr,2022,125,A
PhIr,2022,126,A
PhIr,2022,127,A
PhIr,2022,128,A
PhIr,2022,129,A
PhIr,2022,130,A
PhIr,2022,131,A
PhIr,2022,132,A
PhIr,2022,133,A
PhIr,2022,134,A
PhIr,2022,135,A
PhIr,2022,136,A
PhIr,2022,137,A
PhIr,2022,138,A
PhIr,2022,139,A
PhIr,2022,140,A
PhIr,2022,141,A
PhIr,2022,142,A
PhIr,2022,143,A
PhIr,2022,144,A
PhIr,2022,145,A
PhIr,2022,146,A
PhIr,2022,147,A
PhIr,2022,148,A
PhIr,2022,149,A
PhIr,2022,150,A
PhIr,2022,151,A
PhIr,2022,152,A
PhIr,2022,153,A
PhIr,2022,154,A
PhIr,2022,155,A
PhIr,2022,156,A
PhIr,2022,157,A
PhIr,2022,158,A
PhIr,2022,159,A
PhIr,2022,160,A
PhIr,2022,161,A
PhIr,2022,162,A
PhIr,2022,163,A
PhIr,2022,164,A
PhIr,2022,165,A
PhIr,2022,166,A
PhIr,2022,167,A
PhIr,2022,168,A
PhIr,2022,169,A
PhIr,2022,170,A
PhIr,2022,171,A
PhIr,2022,172,A
PhIr,2022,173,A
PhIr,2022,174,A
PhIr,2022,175,A
PhIr,2022,176,A
PhIr,2022,177,A
PhIr,2022,178,A
PhIr,2022,179,A
PhIr,2022,180,A
PhIr,2022,181,A
PhIr,2022,182,A
PhIr,2022,183,A
PhIr,2022,184,A
PhIr,2022,185,A
PhIr,2022,186,A
PhIr,2022,187,A
PhIr,2022,188,A
PhIr,2022,189,A
PhIr,2022,190,A
PhIr,2022,191,A
PhIr,2022,192,A
